id_str,created_at,retweet_count
1613036140252254210,Wed Jan 11 04:52:39 +0000 2023,124
1613036139828416512,Wed Jan 11 04:52:39 +0000 2023,81
1613036139081785345,Wed Jan 11 04:52:38 +0000 2023,2524
1613036138654048259,Wed Jan 11 04:52:38 +0000 2023,750
1613036138171883520,Wed Jan 11 04:52:38 +0000 2023,371
1613036137823588355,Wed Jan 11 04:52:38 +0000 2023,335
1613036136636596225,Wed Jan 11 04:52:38 +0000 2023,104
1613036133838995457,Wed Jan 11 04:52:37 +0000 2023,67
1613036132303781890,Wed Jan 11 04:52:37 +0000 2023,362
1613036132123705344,Wed Jan 11 04:52:37 +0000 2023,197
1613036130940624896,Wed Jan 11 04:52:37 +0000 2023,0
1613036130898698241,Wed Jan 11 04:52:37 +0000 2023,0
1613036129162338306,Wed Jan 11 04:52:36 +0000 2023,7247
1613036128780836869,Wed Jan 11 04:52:36 +0000 2023,50
1613036127790792704,Wed Jan 11 04:52:36 +0000 2023,1346
1613036126692061184,Wed Jan 11 04:52:36 +0000 2023,8
1613036126255693824,Wed Jan 11 04:52:35 +0000 2023,149
1613036125861339136,Wed Jan 11 04:52:35 +0000 2023,0
1613036123202240512,Wed Jan 11 04:52:35 +0000 2023,4417
1613036122183024640,Wed Jan 11 04:52:34 +0000 2023,0
1613036121755381761,Wed Jan 11 04:52:34 +0000 2023,24
1613036119158841344,Wed Jan 11 04:52:34 +0000 2023,0
1613036118970335232,Wed Jan 11 04:52:34 +0000 2023,1715
1613036117716074496,Wed Jan 11 04:52:33 +0000 2023,155
1613036117397278720,Wed Jan 11 04:52:33 +0000 2023,0
1613036116957089795,Wed Jan 11 04:52:33 +0000 2023,2516
1613036116466073602,Wed Jan 11 04:52:33 +0000 2023,1
1613036116365684736,Wed Jan 11 04:52:33 +0000 2023,2352
1613036115682013185,Wed Jan 11 04:52:33 +0000 2023,2314
1613036113299390464,Wed Jan 11 04:52:32 +0000 2023,93
1613036113261916160,Wed Jan 11 04:52:32 +0000 2023,4
1613036110380400642,Wed Jan 11 04:52:32 +0000 2023,390
1613036109088587780,Wed Jan 11 04:52:31 +0000 2023,1286
1613036108815945728,Wed Jan 11 04:52:31 +0000 2023,0
1613036106907541506,Wed Jan 11 04:52:31 +0000 2023,0
1613036105787473921,Wed Jan 11 04:52:31 +0000 2023,10
1613036102788714496,Wed Jan 11 04:52:30 +0000 2023,7599
1613036102662725632,Wed Jan 11 04:52:30 +0000 2023,7599
1613036099643006978,Wed Jan 11 04:52:29 +0000 2023,6
1613036099005300736,Wed Jan 11 04:52:29 +0000 2023,5533
1613036098560606209,Wed Jan 11 04:52:29 +0000 2023,1346
1613036097432440832,Wed Jan 11 04:52:29 +0000 2023,1
1613036097180770305,Wed Jan 11 04:52:28 +0000 2023,1346
1613036097147207681,Wed Jan 11 04:52:28 +0000 2023,1002
1613036096618926085,Wed Jan 11 04:52:28 +0000 2023,2363
1613036096606068737,Wed Jan 11 04:52:28 +0000 2023,34
1613036094257532928,Wed Jan 11 04:52:28 +0000 2023,2425
1613036093997473794,Wed Jan 11 04:52:28 +0000 2023,20612
1613036091690606592,Wed Jan 11 04:52:27 +0000 2023,2610
1613036091455725569,Wed Jan 11 04:52:27 +0000 2023,0
1613036090256130048,Wed Jan 11 04:52:27 +0000 2023,4
1613036090100797441,Wed Jan 11 04:52:27 +0000 2023,194
1613036089270321152,Wed Jan 11 04:52:27 +0000 2023,1346
1613036088238673920,Wed Jan 11 04:52:26 +0000 2023,1945
1613036087211085824,Wed Jan 11 04:52:26 +0000 2023,4417
1613036086082822144,Wed Jan 11 04:52:26 +0000 2023,438
1613036084040015879,Wed Jan 11 04:52:25 +0000 2023,2524
1613036082949509122,Wed Jan 11 04:52:25 +0000 2023,1056
1613036082630639618,Wed Jan 11 04:52:25 +0000 2023,0
1613036080965586944,Wed Jan 11 04:52:25 +0000 2023,4777
1613036080881872899,Wed Jan 11 04:52:25 +0000 2023,2328
1613036079770214400,Wed Jan 11 04:52:24 +0000 2023,0
1613036079246102528,Wed Jan 11 04:52:24 +0000 2023,99
1613036079007006720,Wed Jan 11 04:52:24 +0000 2023,1094
1613036078851579905,Wed Jan 11 04:52:24 +0000 2023,7
1613036078184775680,Wed Jan 11 04:52:24 +0000 2023,12
1613036073948676096,Wed Jan 11 04:52:23 +0000 2023,0
1613036073189253120,Wed Jan 11 04:52:23 +0000 2023,4
1613036071490551814,Wed Jan 11 04:52:22 +0000 2023,0
1613036071323062273,Wed Jan 11 04:52:22 +0000 2023,2610
1613036069892812800,Wed Jan 11 04:52:22 +0000 2023,0
1613036069540315137,Wed Jan 11 04:52:22 +0000 2023,2980
1613036069422862336,Wed Jan 11 04:52:22 +0000 2023,273
