id_str,created_at,retweet_count
1613039071802138625,Wed Jan 11 05:04:18 +0000 2023,2
1613039069382184960,Wed Jan 11 05:04:17 +0000 2023,0
1613039068417495040,Wed Jan 11 05:04:17 +0000 2023,386
1613039068148801537,Wed Jan 11 05:04:17 +0000 2023,577
1613039068098576386,Wed Jan 11 05:04:17 +0000 2023,0
1613039067440230401,Wed Jan 11 05:04:17 +0000 2023,7583
1613039066987073536,Wed Jan 11 05:04:17 +0000 2023,120
1613039066379063296,Wed Jan 11 05:04:16 +0000 2023,10
1613039064961409024,Wed Jan 11 05:04:16 +0000 2023,4213
1613039064055177216,Wed Jan 11 05:04:16 +0000 2023,112
1613039063128236032,Wed Jan 11 05:04:16 +0000 2023,0
1613039063107502081,Wed Jan 11 05:04:16 +0000 2023,472
1613039060779692033,Wed Jan 11 05:04:15 +0000 2023,7583
1613039060020350976,Wed Jan 11 05:04:15 +0000 2023,101
1613039059282321408,Wed Jan 11 05:04:15 +0000 2023,91
1613039057604329475,Wed Jan 11 05:04:14 +0000 2023,2600
1613039057327783936,Wed Jan 11 05:04:14 +0000 2023,875
1613039056774123521,Wed Jan 11 05:04:14 +0000 2023,2521
1613039056681828353,Wed Jan 11 05:04:14 +0000 2023,1
1613039055381618690,Wed Jan 11 05:04:14 +0000 2023,2514
1613039054500790274,Wed Jan 11 05:04:14 +0000 2023,0
1613039053280002051,Wed Jan 11 05:04:13 +0000 2023,5
1613039053087313927,Wed Jan 11 05:04:13 +0000 2023,0
1613039050591711232,Wed Jan 11 05:04:13 +0000 2023,0
1613039047705772033,Wed Jan 11 05:04:12 +0000 2023,7717
1613039045868756992,Wed Jan 11 05:04:12 +0000 2023,4415
1613039043784097794,Wed Jan 11 05:04:11 +0000 2023,2247
1613039043645693952,Wed Jan 11 05:04:11 +0000 2023,399
1613039043066871808,Wed Jan 11 05:04:11 +0000 2023,42
1613039041095634945,Wed Jan 11 05:04:10 +0000 2023,20610
1613039037618749451,Wed Jan 11 05:04:10 +0000 2023,0
1613039034783395840,Wed Jan 11 05:04:09 +0000 2023,137
1613039033944530944,Wed Jan 11 05:04:09 +0000 2023,3841
1613039033315098624,Wed Jan 11 05:04:09 +0000 2023,0
1613039033130618880,Wed Jan 11 05:04:08 +0000 2023,251
1613039031230554113,Wed Jan 11 05:04:08 +0000 2023,36
1613039029078851584,Wed Jan 11 05:04:08 +0000 2023,147
1613039026092773376,Wed Jan 11 05:04:07 +0000 2023,8970
1613039024129687553,Wed Jan 11 05:04:06 +0000 2023,2
1613039023995424768,Wed Jan 11 05:04:06 +0000 2023,1945
1613039023492063234,Wed Jan 11 05:04:06 +0000 2023,96
1613039021185187840,Wed Jan 11 05:04:06 +0000 2023,81
1613039020900241408,Wed Jan 11 05:04:06 +0000 2023,0
1613039018865823746,Wed Jan 11 05:04:05 +0000 2023,398
1613039018555609095,Wed Jan 11 05:04:05 +0000 2023,0
1613039018282995720,Wed Jan 11 05:04:05 +0000 2023,927
1613039017905250304,Wed Jan 11 05:04:05 +0000 2023,253
1613039017410596864,Wed Jan 11 05:04:05 +0000 2023,7583
1613039016508641280,Wed Jan 11 05:04:05 +0000 2023,2091
1613039016198418434,Wed Jan 11 05:04:04 +0000 2023,4
1613039014713360387,Wed Jan 11 05:04:04 +0000 2023,1
1613039014696873984,Wed Jan 11 05:04:04 +0000 2023,1
1613039012817649668,Wed Jan 11 05:04:04 +0000 2023,0
1613039012595523584,Wed Jan 11 05:04:04 +0000 2023,875
1613039011785736193,Wed Jan 11 05:04:03 +0000 2023,577
1613039008774344704,Wed Jan 11 05:04:03 +0000 2023,791
1613039007373434883,Wed Jan 11 05:04:02 +0000 2023,875
1613039006861647873,Wed Jan 11 05:04:02 +0000 2023,875
1613039005561507840,Wed Jan 11 05:04:02 +0000 2023,2507
1613039005351964674,Wed Jan 11 05:04:02 +0000 2023,1256
1613039004236283909,Wed Jan 11 05:04:02 +0000 2023,1094
1613039004022087680,Wed Jan 11 05:04:02 +0000 2023,383
1613039002898292737,Wed Jan 11 05:04:01 +0000 2023,2312
1613039002747293696,Wed Jan 11 05:04:01 +0000 2023,10
1613039002059419648,Wed Jan 11 05:04:01 +0000 2023,4213
1613039000616570880,Wed Jan 11 05:04:01 +0000 2023,0
1613039000217862145,Wed Jan 11 05:04:01 +0000 2023,5532
1613038999744176128,Wed Jan 11 05:04:01 +0000 2023,1567
1613038999471534081,Wed Jan 11 05:04:00 +0000 2023,0
1613038999177728000,Wed Jan 11 05:04:00 +0000 2023,3
1613038998519439360,Wed Jan 11 05:04:00 +0000 2023,355
1613038997265174528,Wed Jan 11 05:04:00 +0000 2023,15486
1613038997076578305,Wed Jan 11 05:04:00 +0000 2023,7
1613038995826425857,Wed Jan 11 05:04:00 +0000 2023,577
1613038994174152704,Wed Jan 11 05:03:59 +0000 2023,4
1613038991661481984,Wed Jan 11 05:03:59 +0000 2023,18
1613038991019835393,Wed Jan 11 05:03:58 +0000 2023,7583
