id_str,created_at,retweet_count
1613033226939031552,Wed Jan 11 04:41:04 +0000 2023,51
1613033226032889856,Wed Jan 11 04:41:04 +0000 2023,25
1613033225483587584,Wed Jan 11 04:41:04 +0000 2023,927
1613033225164562432,Wed Jan 11 04:41:04 +0000 2023,1
1613033221842735105,Wed Jan 11 04:41:03 +0000 2023,767
1613033220773408770,Wed Jan 11 04:41:03 +0000 2023,0
1613033219888406529,Wed Jan 11 04:41:02 +0000 2023,8980
1613033217501859841,Wed Jan 11 04:41:02 +0000 2023,7616
1613033217371803649,Wed Jan 11 04:41:02 +0000 2023,20615
1613033216818003969,Wed Jan 11 04:41:02 +0000 2023,323
1613033216184832001,Wed Jan 11 04:41:02 +0000 2023,278
1613033214863609856,Wed Jan 11 04:41:01 +0000 2023,8
1613033214452371463,Wed Jan 11 04:41:01 +0000 2023,927
1613033212229615617,Wed Jan 11 04:41:01 +0000 2023,2
1613033211575271424,Wed Jan 11 04:41:01 +0000 2023,0
1613033211545747457,Wed Jan 11 04:41:00 +0000 2023,390
1613033210081955842,Wed Jan 11 04:41:00 +0000 2023,248
1613033208882274305,Wed Jan 11 04:41:00 +0000 2023,3843
1613033208156749824,Wed Jan 11 04:41:00 +0000 2023,1
1613033208026746880,Wed Jan 11 04:41:00 +0000 2023,2
1613033205757526021,Wed Jan 11 04:40:59 +0000 2023,3309
1613033205266882562,Wed Jan 11 04:40:59 +0000 2023,198
1613033204960694274,Wed Jan 11 04:40:59 +0000 2023,2617
1613033204755357696,Wed Jan 11 04:40:59 +0000 2023,2260
1613033202179866629,Wed Jan 11 04:40:58 +0000 2023,64
1613033201886453760,Wed Jan 11 04:40:58 +0000 2023,0
1613033201731092482,Wed Jan 11 04:40:58 +0000 2023,19841
1613033200263245826,Wed Jan 11 04:40:58 +0000 2023,28920
1613033199273402371,Wed Jan 11 04:40:58 +0000 2023,15
1613033199029846016,Wed Jan 11 04:40:58 +0000 2023,372
1613033197490810881,Wed Jan 11 04:40:57 +0000 2023,2
1613033196987219968,Wed Jan 11 04:40:57 +0000 2023,750
1613033196161228800,Wed Jan 11 04:40:57 +0000 2023,5243
1613033195183964163,Wed Jan 11 04:40:57 +0000 2023,581
1613033193871118344,Wed Jan 11 04:40:56 +0000 2023,2617
1613033193606717441,Wed Jan 11 04:40:56 +0000 2023,92
1613033192189005825,Wed Jan 11 04:40:56 +0000 2023,1261
1613033191656284160,Wed Jan 11 04:40:56 +0000 2023,7
1613033190402437121,Wed Jan 11 04:40:55 +0000 2023,0
1613033187470352386,Wed Jan 11 04:40:55 +0000 2023,7617
1613033187013455874,Wed Jan 11 04:40:55 +0000 2023,2318
1613033186988265472,Wed Jan 11 04:40:55 +0000 2023,561
1613033186216542210,Wed Jan 11 04:40:54 +0000 2023,294
1613033186111406083,Wed Jan 11 04:40:54 +0000 2023,4426
1613033185452900352,Wed Jan 11 04:40:54 +0000 2023,767
1613033185247625218,Wed Jan 11 04:40:54 +0000 2023,40
1613033184295264257,Wed Jan 11 04:40:54 +0000 2023,1329
1613033184253612033,Wed Jan 11 04:40:54 +0000 2023,13
1613033182844133379,Wed Jan 11 04:40:54 +0000 2023,671
1613033182592475137,Wed Jan 11 04:40:54 +0000 2023,2806
1613033181879443456,Wed Jan 11 04:40:53 +0000 2023,0
1613033181455998978,Wed Jan 11 04:40:53 +0000 2023,6
1613033180897939457,Wed Jan 11 04:40:53 +0000 2023,5243
1613033180659089411,Wed Jan 11 04:40:53 +0000 2023,2363
1613033178276704256,Wed Jan 11 04:40:53 +0000 2023,0
1613033177357893632,Wed Jan 11 04:40:52 +0000 2023,20615
1613033177286676484,Wed Jan 11 04:40:52 +0000 2023,3
1613033174338269184,Wed Jan 11 04:40:52 +0000 2023,892
1613033174036090880,Wed Jan 11 04:40:52 +0000 2023,53
1613033171096064000,Wed Jan 11 04:40:51 +0000 2023,0
